id,repo_name,github_url,CommitCount,AuthorCount,DaysActive,BusFactorNumber,lone_wolf,radio_silence,org_silo,total_code_smells,total_design_smells,total_impl_smells,in_social_analysis,in_clustering,clustering_outlier,has_bus_factor,url_note
128,clickstream-producer-for-apache-kafka,https://github.com/search?q=clickstream-producer-for-apache-kafka+language:Java&type=repositories,57.0,11.0,1823.0,0.7777777777777778,0.0,0.0,1.0,259,11,248,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
129,cloud-asset-erp-dataloading-using-java,https://github.com/search?q=cloud-asset-erp-dataloading-using-java+language:Java&type=repositories,7.0,1.0,1030.0,,0.0,1.0,0.0,11,2,9,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
130,codeSamples,https://github.com/search?q=codeSamples+language:Java&type=repositories,809.0,5.0,4566.0,,0.0,0.0,0.0,8,5,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
131,code_samples,https://github.com/search?q=code_samples+language:Java&type=repositories,,,,,,,,12,5,7,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
132,communication-services-android-calling-hero,https://github.com/search?q=communication-services-android-calling-hero+language:Java&type=repositories,68.0,12.0,1092.0,0.8571428571428571,0.0,0.0,0.0,47,16,31,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
133,core-java-ref,https://github.com/search?q=core-java-ref+language:Java&type=repositories,3.0,1.0,0.0,,0.0,1.0,0.0,21,9,12,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
134,cqrs-lottery,https://github.com/search?q=cqrs-lottery+language:Java&type=repositories,18.0,1.0,29.0,,0.0,1.0,0.0,202,97,105,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
135,creational-design-patterns-example,https://github.com/search?q=creational-design-patterns-example+language:Java&type=repositories,6.0,1.0,4.0,,0.0,1.0,0.0,25,19,6,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
136,ctrader-open-api-v2-java-example,https://github.com/search?q=ctrader-open-api-v2-java-example+language:Java&type=repositories,31.0,10.0,2057.0,1.0,1.0,0.0,1.0,67,13,54,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
137,cybersource-rest-samples-java,https://github.com/search?q=cybersource-rest-samples-java+language:Java&type=repositories,423.0,30.0,2670.0,0.9375,1.0,0.0,1.0,879,25,854,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
138,data-box-samples,https://github.com/search?q=data-box-samples+language:Java&type=repositories,46.0,9.0,919.0,,0.0,0.0,0.0,232,1,231,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
139,data-engineering-for-aws-immersion-day,https://github.com/search?q=data-engineering-for-aws-immersion-day+language:Java&type=repositories,119.0,11.0,2301.0,0.9545454545454546,1.0,0.0,1.0,17,5,12,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
140,datomic-java-examples,https://github.com/search?q=datomic-java-examples+language:Java&type=repositories,71.0,8.0,4645.0,1.0,1.0,0.0,1.0,107,16,91,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
141,day12-face-detection,https://github.com/search?q=day12-face-detection+language:Java&type=repositories,2.0,1.0,0.0,,0.0,1.0,0.0,2,0,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
142,ddd,https://github.com/search?q=ddd+language:Java&type=repositories,21.0,2.0,2063.0,,0.0,0.0,0.0,5,3,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
143,deadbolt-2-java-examples,https://github.com/search?q=deadbolt-2-java-examples+language:Java&type=repositories,47.0,5.0,1217.0,1.0,1.0,0.0,0.0,29,22,7,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
144,demo,https://github.com/search?q=demo+language:Java&type=repositories,1047.0,6.0,1075.0,0.9493670886075948,1.0,0.0,0.0,1,1,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
145,demo-DSV-java,https://github.com/search?q=demo-DSV-java+language:Java&type=repositories,3.0,1.0,0.0,,0.0,1.0,0.0,3,1,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
146,demo-java,https://github.com/search?q=demo-java+language:Java&type=repositories,18.0,1.0,962.0,0.9411764705882352,1.0,0.0,0.0,115,18,97,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
147,effective-java-examples,https://github.com/search?q=effective-java-examples+language:Java&type=repositories,7.0,2.0,1718.0,1.0,1.0,0.0,0.0,255,87,168,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
148,elasticsearch,https://github.com/search?q=elasticsearch+language:Java&type=repositories,60912.0,1842.0,4252.0,,0.0,1.0,0.0,19,6,13,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
149,encog-java-examples,https://github.com/search?q=encog-java-examples+language:Java&type=repositories,732.0,9.0,3333.0,,0.0,0.0,1.0,866,106,760,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
150,examples-java,https://github.com/search?q=examples-java+language:Java&type=repositories,7.0,2.0,900.0,1.0,1.0,0.0,0.0,406,190,216,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
151,feign-eureka,https://github.com/search?q=feign-eureka+language:Java&type=repositories,22.0,7.0,3700.0,1.0,1.0,0.0,1.0,1,0,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
152,foglight-rest-api-java-sample-code,https://github.com/search?q=foglight-rest-api-java-sample-code+language:Java&type=repositories,8.0,3.0,97.0,,0.0,1.0,0.0,81,19,62,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
153,gateway-java-sample-code,https://github.com/search?q=gateway-java-sample-code+language:Java&type=repositories,564.0,21.0,700.0,,0.0,0.0,0.0,120,14,106,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
154,gemini-function-calling,https://github.com/search?q=gemini-function-calling+language:Java&type=repositories,14.0,1.0,10.0,,0.0,1.0,0.0,22,4,18,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
155,gitstafette-explorer,https://github.com/search?q=gitstafette-explorer+language:Java&type=repositories,5.0,1.0,177.0,,0.0,1.0,0.0,3,2,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
156,graphql,https://github.com/search?q=graphql+language:Java&type=repositories,13.0,1.0,7.0,0.0,0.0,0.0,0.0,74,29,45,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
157,graphql-examples,https://github.com/search?q=graphql-examples+language:Java&type=repositories,5.0,1.0,1.0,,0.0,1.0,0.0,58,44,14,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
158,graphql-java-examples,https://github.com/search?q=graphql-java-examples+language:Java&type=repositories,54.0,8.0,1566.0,0.5,0.0,0.0,0.0,66,35,31,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
159,grpc-by-example-java,https://github.com/search?q=grpc-by-example-java+language:Java&type=repositories,130.0,12.0,1577.0,0.9629629629629628,1.0,0.0,0.0,176,63,113,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
160,grpc-java,https://github.com/search?q=grpc-java+language:Java&type=repositories,7022.0,463.0,4052.0,0.0,0.0,1.0,1.0,3,2,1,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
161,gs-accessing-data-jpa,https://github.com/search?q=gs-accessing-data-jpa+language:Java&type=repositories,272.0,43.0,4596.0,1.0,1.0,0.0,1.0,3,3,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
162,gs-accessing-data-mongodb,https://github.com/search?q=gs-accessing-data-mongodb+language:Java&type=repositories,251.0,29.0,4598.0,1.0,1.0,0.0,1.0,5,4,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
163,gs-accessing-data-mysql,https://github.com/search?q=gs-accessing-data-mysql+language:Java&type=repositories,188.0,32.0,4489.0,1.0,1.0,0.0,1.0,5,5,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
164,gs-accessing-data-neo4j,https://github.com/search?q=gs-accessing-data-neo4j+language:Java&type=repositories,256.0,32.0,4668.0,1.0,1.0,0.0,1.0,4,3,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
165,gs-accessing-data-r2dbc,https://github.com/search?q=gs-accessing-data-r2dbc+language:Java&type=repositories,138.0,18.0,4488.0,1.0,1.0,0.0,1.0,7,2,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
166,gs-accessing-data-rest,https://github.com/search?q=gs-accessing-data-rest+language:Java&type=repositories,167.0,23.0,4353.0,1.0,1.0,0.0,1.0,15,4,11,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
167,gs-accessing-mongodb-data-rest,https://github.com/search?q=gs-accessing-mongodb-data-rest+language:Java&type=repositories,150.0,21.0,4365.0,1.0,1.0,0.0,1.0,15,4,11,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
168,gs-accessing-neo4j-data-rest,https://github.com/search?q=gs-accessing-neo4j-data-rest+language:Java&type=repositories,172.0,20.0,4367.0,0.96,1.0,0.0,1.0,15,4,11,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
169,gs-accessing-vault,https://github.com/search?q=gs-accessing-vault+language:Java&type=repositories,147.0,18.0,4483.0,1.0,1.0,0.0,1.0,2,2,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
170,gs-actuator-service,https://github.com/search?q=gs-actuator-service+language:Java&type=repositories,244.0,32.0,4656.0,1.0,1.0,0.0,1.0,6,4,2,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
171,gs-async-method,https://github.com/search?q=gs-async-method+language:Java&type=repositories,207.0,24.0,4565.0,1.0,1.0,0.0,1.0,7,3,4,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
172,gs-authenticating-ldap,https://github.com/search?q=gs-authenticating-ldap+language:Java&type=repositories,251.0,31.0,4649.0,1.0,1.0,0.0,1.0,7,5,2,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
173,gs-batch-processing,https://github.com/search?q=gs-batch-processing+language:Java&type=repositories,284.0,36.0,4627.0,1.0,1.0,0.0,1.0,9,3,6,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
174,gs-caching,https://github.com/search?q=gs-caching+language:Java&type=repositories,153.0,21.0,4461.0,1.0,1.0,0.0,1.0,10,8,2,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
175,gs-centralized-configuration,https://github.com/search?q=gs-centralized-configuration+language:Java&type=repositories,254.0,26.0,4675.0,1.0,1.0,0.0,1.0,4,4,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
176,gs-cloud-circuit-breaker,https://github.com/search?q=gs-cloud-circuit-breaker+language:Java&type=repositories,171.0,22.0,4416.0,1.0,1.0,0.0,1.0,7,6,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
177,gs-consuming-rest,https://github.com/search?q=gs-consuming-rest+language:Java&type=repositories,262.0,35.0,4628.0,1.0,1.0,0.0,1.0,3,3,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
178,gs-consuming-web-service,https://github.com/search?q=gs-consuming-web-service+language:Java&type=repositories,156.0,19.0,4376.0,1.0,1.0,0.0,1.0,4,3,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
179,gs-contract-rest,https://github.com/search?q=gs-contract-rest+language:Java&type=repositories,153.0,20.0,4484.0,1.0,1.0,0.0,1.0,29,14,15,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
180,gs-crud-with-vaadin,https://github.com/search?q=gs-crud-with-vaadin+language:Java&type=repositories,249.0,31.0,3859.0,1.0,1.0,0.0,1.0,12,7,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
181,gs-gateway,https://github.com/search?q=gs-gateway+language:Java&type=repositories,153.0,20.0,4461.0,1.0,1.0,0.0,1.0,8,3,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
182,gs-handling-form-submission,https://github.com/search?q=gs-handling-form-submission+language:Java&type=repositories,197.0,24.0,4564.0,1.0,1.0,0.0,1.0,5,4,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
183,gs-integration,https://github.com/search?q=gs-integration+language:Java&type=repositories,217.0,24.0,4608.0,1.0,1.0,0.0,1.0,3,3,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
184,gs-managing-transactions,https://github.com/search?q=gs-managing-transactions+language:Java&type=repositories,209.0,21.0,4556.0,1.0,1.0,0.0,1.0,8,3,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
185,gs-messaging-jms,https://github.com/search?q=gs-messaging-jms+language:Java&type=repositories,248.0,35.0,4654.0,1.0,1.0,0.0,1.0,2,2,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
186,gs-messaging-rabbitmq,https://github.com/search?q=gs-messaging-rabbitmq+language:Java&type=repositories,236.0,27.0,4642.0,1.0,1.0,0.0,1.0,5,2,3,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
187,gs-messaging-redis,https://github.com/search?q=gs-messaging-redis+language:Java&type=repositories,234.0,25.0,4642.0,1.0,1.0,0.0,1.0,2,1,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
188,gs-messaging-stomp-websocket,https://github.com/search?q=gs-messaging-stomp-websocket+language:Java&type=repositories,188.0,32.0,4539.0,1.0,1.0,0.0,1.0,9,5,4,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
189,gs-multi-module,https://github.com/search?q=gs-multi-module+language:Java&type=repositories,97.0,18.0,3298.0,1.0,1.0,0.0,1.0,6,6,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
190,gs-producing-web-service,https://github.com/search?q=gs-producing-web-service+language:Java&type=repositories,175.0,26.0,4420.0,1.0,1.0,0.0,1.0,7,6,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
191,gs-reactive-rest-service,https://github.com/search?q=gs-reactive-rest-service+language:Java&type=repositories,179.0,26.0,4434.0,1.0,1.0,0.0,1.0,5,2,3,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
192,gs-relational-data-access,https://github.com/search?q=gs-relational-data-access+language:Java&type=repositories,3.0,1.0,0.0,,0.0,1.0,0.0,3,1,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
193,gs-rest-hateoas,https://github.com/search?q=gs-rest-hateoas+language:Java&type=repositories,243.0,29.0,4619.0,1.0,1.0,0.0,1.0,10,6,4,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
194,gs-rest-service,https://github.com/search?q=gs-rest-service+language:Java&type=repositories,403.0,46.0,4682.0,1.0,1.0,0.0,1.0,6,4,2,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
195,gs-rest-service-cors,https://github.com/search?q=gs-rest-service-cors+language:Java&type=repositories,128.0,13.0,1932.0,,0.0,1.0,1.0,6,4,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
196,gs-scheduling-tasks,https://github.com/search?q=gs-scheduling-tasks+language:Java&type=repositories,261.0,26.0,4656.0,1.0,1.0,0.0,1.0,4,2,2,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
197,gs-securing-web,https://github.com/search?q=gs-securing-web+language:Java&type=repositories,289.0,45.0,4615.0,1.0,1.0,0.0,1.0,6,5,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
198,gs-service-registration-and-discovery,https://github.com/search?q=gs-service-registration-and-discovery+language:Java&type=repositories,241.0,27.0,4654.0,1.0,1.0,0.0,1.0,5,5,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
199,gs-serving-web-content,https://github.com/search?q=gs-serving-web-content+language:Java&type=repositories,212.0,28.0,4522.0,1.0,1.0,0.0,1.0,4,4,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
200,gs-spring-boot,https://github.com/search?q=gs-spring-boot+language:Java&type=repositories,270.0,48.0,4573.0,1.0,1.0,0.0,1.0,6,5,1,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
201,gs-spring-boot-docker,https://github.com/search?q=gs-spring-boot-docker+language:Java&type=repositories,202.0,36.0,3964.0,1.0,1.0,0.0,1.0,8,4,4,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
202,gs-spring-cloud-loadbalancer,https://github.com/search?q=gs-spring-cloud-loadbalancer+language:Java&type=repositories,55.0,13.0,2325.0,1.0,1.0,0.0,1.0,24,9,15,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
203,gs-spring-cloud-stream,https://github.com/search?q=gs-spring-cloud-stream+language:Java&type=repositories,25.0,11.0,2275.0,1.0,1.0,0.0,1.0,11,6,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
204,gs-spring-data-reactive-redis,https://github.com/search?q=gs-spring-data-reactive-redis+language:Java&type=repositories,129.0,13.0,4461.0,1.0,1.0,0.0,1.0,6,4,2,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
205,gs-tanzu-observability,https://github.com/search?q=gs-tanzu-observability+language:Java&type=repositories,35.0,10.0,1821.0,,0.0,0.0,1.0,10,6,4,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
206,gs-testing-restdocs,https://github.com/search?q=gs-testing-restdocs+language:Java&type=repositories,70.0,16.0,3229.0,1.0,1.0,0.0,1.0,12,7,5,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
207,gs-testing-web,https://github.com/search?q=gs-testing-web+language:Java&type=repositories,3.0,2.0,0.0,,0.0,1.0,0.0,9,8,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
208,gs-uploading-files,https://github.com/search?q=gs-uploading-files+language:Java&type=repositories,267.0,37.0,4634.0,1.0,1.0,0.0,1.0,20,11,9,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
209,gs-validating-form-input,https://github.com/search?q=gs-validating-form-input+language:Java&type=repositories,240.0,28.0,4637.0,1.0,1.0,0.0,1.0,4,4,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
210,gs-vault-config,https://github.com/search?q=gs-vault-config+language:Java&type=repositories,143.0,22.0,4461.0,1.0,1.0,0.0,1.0,2,2,0,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
211,gst1-java-examples,https://github.com/search?q=gst1-java-examples+language:Java&type=repositories,49.0,5.0,2538.0,0.9411764705882352,1.0,0.0,0.0,307,35,272,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
212,hazelcast-test,https://github.com/search?q=hazelcast-test+language:Java&type=repositories,2.0,1.0,0.0,,0.0,1.0,0.0,7,3,4,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
213,hexagonal-architecture-java,https://github.com/search?q=hexagonal-architecture-java+language:Java&type=repositories,52.0,2.0,533.0,,0.0,0.0,0.0,7,5,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
214,hms-push-serverdemo-java,https://github.com/search?q=hms-push-serverdemo-java+language:Java&type=repositories,33.0,6.0,1126.0,0.8823529411764706,0.0,0.0,0.0,174,65,109,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
215,htm.java-examples,https://github.com/search?q=htm.java-examples+language:Java&type=repositories,58.0,5.0,388.0,,0.0,1.0,0.0,344,16,328,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
216,ibm-developer-java,https://github.com/search?q=ibm-developer-java+language:Java&type=repositories,10.0,4.0,137.0,,0.0,0.0,1.0,38,15,23,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
217,integration-sample-lambda-msk,https://github.com/search?q=integration-sample-lambda-msk+language:Java&type=repositories,43.0,10.0,1734.0,1.0,1.0,0.0,1.0,22,1,21,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
218,item-manager,https://github.com/search?q=item-manager+language:Java&type=repositories,4.0,1.0,90.0,,0.0,1.0,0.0,7,4,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
219,janusgraph-java-example,https://github.com/search?q=janusgraph-java-example+language:Java&type=repositories,6.0,1.0,509.0,,0.0,0.0,0.0,4,1,3,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
220,java-by-rkaranam,https://github.com/search?q=java-by-rkaranam+language:Java&type=repositories,,,,,,,,288,98,190,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
221,java-clean-architecture-example,https://github.com/search?q=java-clean-architecture-example+language:Java&type=repositories,132.0,1.0,284.0,,0.0,0.0,0.0,778,290,488,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
222,java-code-demo,https://github.com/search?q=java-code-demo+language:Java&type=repositories,42.0,3.0,420.0,-0.5,0.0,0.0,0.0,52,14,38,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
223,java-code-sample,https://github.com/search?q=java-code-sample+language:Java&type=repositories,,,,,,,,134,80,54,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
224,java-codebits-cellar,https://github.com/search?q=java-codebits-cellar+language:Java&type=repositories,38.0,1.0,8.0,,0.0,0.0,0.0,93,40,53,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
225,java-coding-practice,https://github.com/search?q=java-coding-practice+language:Java&type=repositories,42.0,3.0,370.0,,0.0,0.0,0.0,68,1,67,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
226,java-demo,https://github.com/search?q=java-demo+language:Java&type=repositories,143.0,10.0,2022.0,1.0,1.0,0.0,1.0,3,0,3,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
227,java-demoapp,https://github.com/search?q=java-demoapp+language:Java&type=repositories,39.0,1.0,620.0,0.75,0.0,0.0,0.0,23,10,13,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
228,java-design-patterns-1,https://github.com/search?q=java-design-patterns-1+language:Java&type=repositories,27.0,1.0,272.0,,0.0,1.0,0.0,130,91,39,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
229,java-hospital-patients-registry,https://github.com/search?q=java-hospital-patients-registry+language:Java&type=repositories,13.0,2.0,91.0,,0.0,1.0,0.0,10,5,5,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
230,java-hub,https://github.com/search?q=java-hub+language:Java&type=repositories,,,,,,,,665,293,372,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
231,java-lessons-landfill,https://github.com/search?q=java-lessons-landfill+language:Java&type=repositories,47.0,2.0,44.0,,0.0,1.0,0.0,184,70,114,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
232,java-oop-examples,https://github.com/search?q=java-oop-examples+language:Java&type=repositories,9.0,2.0,1547.0,,0.0,0.0,0.0,5,4,1,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
233,java-ort-example-yolov5,https://github.com/search?q=java-ort-example-yolov5+language:Java&type=repositories,11.0,4.0,238.0,0.5714285714285714,0.0,0.0,0.0,92,8,84,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
234,java-tensorflow-samples,https://github.com/search?q=java-tensorflow-samples+language:Java&type=repositories,29.0,1.0,29.0,,0.0,1.0,0.0,113,19,94,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
235,java-tuto-1,https://github.com/search?q=java-tuto-1+language:Java&type=repositories,18.0,2.0,490.0,,0.0,1.0,0.0,103,38,65,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
236,java-tutorial-project,https://github.com/search?q=java-tutorial-project+language:Java&type=repositories,4.0,1.0,10.0,,0.0,1.0,0.0,8,6,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
237,javaRepo,https://github.com/search?q=javaRepo+language:Java&type=repositories,29.0,3.0,551.0,,0.0,0.0,0.0,31,12,19,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
238,javaSamples1,https://github.com/search?q=javaSamples1+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,119,24,95,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
239,java_code_samples,https://github.com/search?q=java_code_samples+language:Java&type=repositories,,,,,,,,9,3,6,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
240,java_examples,https://github.com/search?q=java_examples+language:Java&type=repositories,14.0,3.0,1871.0,0.6666666666666666,0.0,0.0,0.0,10,4,6,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
241,java_library,https://github.com/search?q=java_library+language:Java&type=repositories,,,,,,,,20,6,14,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
242,java_programming_language,https://github.com/search?q=java_programming_language+language:Java&type=repositories,56.0,1.0,599.0,,0.0,1.0,0.0,267,35,232,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
243,java_sample,https://github.com/search?q=java_sample+language:Java&type=repositories,,,,,,,,3,3,0,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
244,java_samples,https://github.com/search?q=java_samples+language:Java&type=repositories,,,,,,,,486,227,259,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
245,javabackend_project,https://github.com/search?q=javabackend_project+language:Java&type=repositories,10.0,5.0,0.0,,0.0,1.0,0.0,4,2,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
246,javaboy-code-samples,https://github.com/search?q=javaboy-code-samples+language:Java&type=repositories,104.0,1.0,1465.0,0.9090909090909092,1.0,0.0,0.0,1120,632,488,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
247,javademo,https://github.com/search?q=javademo+language:Java&type=repositories,397.0,67.0,0.0,,0.0,1.0,0.0,3,3,0,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
248,javademos,https://github.com/search?q=javademos+language:Java&type=repositories,117.0,2.0,1405.0,,0.0,0.0,0.0,95,35,60,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
249,javafx-demodesktop-application,https://github.com/search?q=javafx-demodesktop-application+language:Java&type=repositories,1.0,1.0,0.0,,0.0,1.0,0.0,6,2,4,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
250,javafx-examples,https://github.com/search?q=javafx-examples+language:Java&type=repositories,100.0,4.0,78.0,0.7142857142857143,0.0,0.0,0.0,60,11,49,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
251,javalab,https://github.com/search?q=javalab+language:Java&type=repositories,81.0,8.0,119.0,0.0,0.0,0.0,0.0,211,53,158,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
252,javalabs,https://github.com/search?q=javalabs+language:Java&type=repositories,19.0,2.0,51.0,,0.0,1.0,0.0,11,4,7,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
253,javamoney-examples,https://github.com/search?q=javamoney-examples+language:Java&type=repositories,472.0,10.0,4455.0,0.9565217391304348,1.0,0.0,1.0,1862,373,1489,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
254,javaplays-alchemyapi,https://github.com/search?q=javaplays-alchemyapi+language:Java&type=repositories,8.0,2.0,35.0,,0.0,1.0,0.0,14,12,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
255,javatut,https://github.com/search?q=javatut+language:Java&type=repositories,,,,,,,,85,24,61,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
256,javazuki-sample-codes,https://github.com/search?q=javazuki-sample-codes+language:Java&type=repositories,10.0,2.0,209.0,,0.0,1.0,0.0,15,8,7,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
257,jdemo,https://github.com/search?q=jdemo+language:Java&type=repositories,,,,,,,,41,29,12,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
258,jnao-example,https://github.com/search?q=jnao-example+language:Java&type=repositories,38.0,3.0,38.0,,0.0,0.0,0.0,345,86,259,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
259,kafka-producer-consumer-java-example,https://github.com/search?q=kafka-producer-consumer-java-example+language:Java&type=repositories,4.0,2.0,16.0,,0.0,1.0,0.0,8,1,7,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
260,levelup-java-examples,https://github.com/search?q=levelup-java-examples+language:Java&type=repositories,592.0,2.0,955.0,0.6666666666666666,0.0,0.0,0.0,2333,389,1944,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
261,mau,https://github.com/search?q=mau+language:Java&type=repositories,,,,,,,,55,7,48,0,0,0,0,Resolve via build_repo_urls.py or GitHub search
